number,date,price
0,2016-12-8,6.8799
1,2016-12-7,6.8805
2,2016-12-6,6.882
3,2016-12-5,6.881
4,2016-12-2,6.8865
5,2016-12-1,6.8865
6,2016-11-30,6.8868
7,2016-11-29,6.8968
8,2016-11-28,6.9088
9,2016-11-25,6.9198
10,2016-11-24,6.9196
11,2016-11-23,6.9202
12,2016-11-22,6.89
13,2016-11-21,6.8928
14,2016-11-18,6.8887
15,2016-11-17,6.8783
16,2016-11-16,6.8804
17,2016-11-15,6.8591
18,2016-11-14,6.8468
19,2016-11-11,6.8125
20,2016-11-10,6.8019
21,2016-11-9,6.78
22,2016-11-8,6.7874
23,2016-11-7,6.7766
24,2016-11-4,6.7565
25,2016-11-3,6.7646
26,2016-11-2,6.757
27,2016-11-1,6.7665
28,2016-10-31,6.7758
29,2016-10-28,6.779
30,2016-10-27,6.7851
31,2016-10-26,6.7711
32,2016-10-25,6.7812
33,2016-10-24,6.7752
34,2016-10-21,6.7667
35,2016-10-20,6.7454
36,2016-10-19,6.7379
37,2016-10-18,6.7409
38,2016-10-17,6.7375
39,2016-10-14,6.7288
40,2016-10-13,6.7274
41,2016-10-12,6.719
42,2016-10-11,6.722
43,2016-10-10,6.7074
44,2016-10-7,6.6716
45,2016-10-6,6.6716
46,2016-10-5,6.6716
47,2016-10-4,6.6716
48,2016-10-3,6.6716
49,2016-9-30,6.6716
50,2016-9-29,6.6673
51,2016-9-28,6.6752
52,2016-9-27,6.6701
53,2016-9-26,6.6689
54,2016-9-23,6.6694
55,2016-9-22,6.6648
56,2016-9-21,6.6721
57,2016-9-20,6.672
58,2016-9-19,6.6685
59,2016-9-16,6.6734
60,2016-9-15,6.6734
61,2016-9-14,6.6734
62,2016-9-13,6.6794
63,2016-9-12,6.6801
64,2016-9-9,6.6781
65,2016-9-8,6.6643
66,2016-9-7,6.6625
67,2016-9-6,6.6755
68,2016-9-5,6.6766
69,2016-9-2,6.6805
70,2016-9-1,6.6715
71,2016-8-31,6.6793
72,2016-8-30,6.6812
73,2016-8-29,6.6777
74,2016-8-26,6.6719
75,2016-8-25,6.6593
76,2016-8-24,6.6591
77,2016-8-23,6.6409
78,2016-8-22,6.6507
79,2016-8-19,6.6532
80,2016-8-18,6.6312
81,2016-8-17,6.6343
82,2016-8-16,6.6253
83,2016-8-15,6.638
84,2016-8-12,6.6353
85,2016-8-11,6.6277
86,2016-8-10,6.638
87,2016-8-9,6.6557
88,2016-8-8,6.6614
89,2016-8-5,6.6564
90,2016-8-4,6.6418
91,2016-8-3,6.6342
92,2016-8-2,6.6272
93,2016-8-1,6.6439
94,2016-7-29,6.6373
95,2016-7-28,6.6554
96,2016-7-27,6.67
97,2016-7-26,6.672
98,2016-7-25,6.6785
99,2016-7-22,6.6795
100,2016-7-21,6.6755
101,2016-7-20,6.6777
102,2016-7-19,6.6963
103,2016-7-18,6.7045
104,2016-7-15,6.6887
105,2016-7-14,6.6836
106,2016-7-13,6.6863
107,2016-7-12,6.6885
108,2016-7-11,6.6939
109,2016-7-8,6.6881
110,2016-7-7,6.681
111,2016-7-6,6.693
112,2016-7-5,6.6796
113,2016-7-4,6.6653
114,2016-7-1,6.6557
115,2016-6-30,6.648
116,2016-6-29,6.6367
117,2016-6-28,6.6481
118,2016-6-27,6.6516
119,2016-6-24,6.6218
120,2016-6-23,6.5772
121,2016-6-22,6.5775
122,2016-6-21,6.5903
123,2016-6-20,6.577
124,2016-6-17,6.5884
125,2016-6-16,6.592
126,2016-6-15,6.5818
127,2016-6-14,6.5965
128,2016-6-13,6.5857
129,2016-6-10,6.5619
130,2016-6-9,6.5619
131,2016-6-8,6.5625
132,2016-6-7,6.5715
133,2016-6-6,6.5637
134,2016-6-3,6.5648
135,2016-6-2,6.5845
136,2016-6-1,6.5751
137,2016-5-31,6.5829
138,2016-5-30,6.5832
139,2016-5-27,6.5633
140,2016-5-26,6.557
141,2016-5-25,6.5541
